96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials
50917,82,16130,A2,,,LEFT,,4/20/2021,KW
50917,83,16130,B2,,,LEFT,,4/20/2021,KW
50917,84,16130,C2,,,LEFT,,4/20/2021,KW
50917,85,16130,D2,,,LEFT,,4/20/2021,KW
50917,86,16130,G2,,,LEFT,,4/20/2021,KW
50917,87,16130,G2,,,UNK,,4/20/2021,KW
50917,88,16130,A3,,,LEFT,,4/20/2021,KW
50917,89,16130,B3,,,LEFT,,4/20/2021,KW
50917,90,16130,E3,,,LEFT,,4/20/2021,KW
50917,91,16130,G3,,,LEFT,,4/20/2021,KW
50917,92,16130,C4,,,LEFT,,4/20/2021,KW
50917,93,16130,H4,,,LEFT,,4/20/2021,KW
50917,94,16130,A5,,,LEFT,,4/20/2021,KW
50917,95,16130,B5,,,UNK,,4/20/2021,KW
50917,96,NTC,NTC,,,,,4/20/2021,KW
51000,1,16130,G5,,,LEFT,,4/20/2021,KW
51000,2,16130,H5,,,UNK,,4/20/2021,KW
51000,3,16130,H5,,,LEFT,,4/20/2021,KW
51000,4,16130,A6,,,LEFT,,4/20/2021,KW
51000,5,16130,B6,,,UNK,,4/20/2021,KW
51000,6,16130,D6,,,LEFT,,4/20/2021,KW
51000,7,16130,E6,,,LEFT,,4/20/2021,KW
51000,8,16130,F6,,,LEFT,,4/20/2021,KW
51000,9,16130,G6,,,LEFT,,4/20/2021,KW
51000,10,16130,H6,,,LEFT,,4/20/2021,KW
51000,11,2228,D1,,,UNK,,4/20/2021,KW
51000,12,2228,D1,,,LEFT,,4/20/2021,KW
51000,13,2228,G1,,,LEFT,,4/20/2021,KW
51000,14,2228,H1,,,LEFT,,4/20/2021,KW
51000,15,2228,H2,,,LEFT,,4/20/2021,KW
51000,16,2228,F3,,,LEFT,,4/20/2021,KW
51000,17,2228,E4,,,LEFT,,4/20/2021,KW
51000,18,2228,H4,,,LEFT,,4/20/2021,KW
51000,19,2228,H4,,,LEFT,,4/20/2021,KW
51000,20,2228,A5,,,LEFT,,4/20/2021,KW
51000,21,2228,A5,,,LEFT,,4/20/2021,KW
51000,22,2228,A5,,,LEFT,,4/20/2021,KW
51000,23,2228,B5,,,LEFT,,4/20/2021,KW
51000,24,2228,C5,,,LEFT,,4/20/2021,KW
51000,25,2228,C5,,,LEFT,,4/20/2021,KW
51000,26,2228,D5,,,LEFT,,4/20/2021,KW
51000,27,2228,D5,,,LEFT,,4/20/2021,KW
51000,28,2228,D5,,,LEFT,,4/20/2021,KW
51000,29,2228,D5,,,LEFT,,4/20/2021,KW
51000,30,2228,E5,,,LEFT,,4/20/2021,KW
51000,31,2228,E5,,,LEFT,,4/20/2021,KW
51000,32,2228,E5,,,LEFT,,4/20/2021,KW
51000,33,2228,F5,,,LEFT,,4/20/2021,KW
51000,34,2228,F5,,,LEFT,,4/20/2021,KW
51000,35,2228,F5,,,UNK,,4/20/2021,KW
51000,36,2228,G5,,,LEFT,,4/20/2021,KW
51000,37,2228,G5,,,LEFT,,4/20/2021,KW
51000,38,2228,H5,,,LEFT,,4/20/2021,KW
51000,39,2228,H5,,,LEFT,,4/20/2021,KW
51000,40,2228,A6,,,LEFT,,4/20/2021,KW
51000,41,2228,B6,,,LEFT,,4/20/2021,KW
51000,42,2228,C6,,,LEFT,,4/20/2021,KW
51000,43,2228,D6,,,LEFT,,4/20/2021,KW
51000,44,2228,E6,,,LEFT,,4/20/2021,KW
51000,45,2228,F6,,,LEFT,,4/20/2021,KW
51000,46,2228,G6,,,LEFT,,4/20/2021,KW
51000,47,2228,H6,,,LEFT,,4/20/2021,KW
51000,48,28829,A1,,,LEFT,,4/20/2021,KW
51000,49,28829,B1,,,UNK,,4/20/2021,KW
51000,50,28829,B1,,,LEFT,,4/20/2021,KW
51000,51,28829,C1,,,LEFT,,4/20/2021,KW
51000,52,28829,C1,,,LEFT,,4/20/2021,KW
51000,53,28829,C1,,,LEFT,,4/20/2021,KW
51000,54,28829,C1,,,LEFT,,4/20/2021,KW
51000,55,28829,D1,,,LEFT,,4/20/2021,KW
51000,56,28829,E1,,,LEFT,,4/20/2021,KW
51000,57,28829,F1,,,LEFT,,4/20/2021,KW
51000,58,28829,G1,,,UNK,,4/20/2021,KW
51000,59,28829,H1,,,LEFT,,4/20/2021,KW
51000,60,28829,A1,,,LEFT,,4/20/2021,KW
51000,61,28829,B2,,,LEFT,,4/20/2021,KW
51000,62,28829,B2,,,LEFT,,4/20/2021,KW
51000,63,28829,B2,,,LEFT,,4/20/2021,KW
51000,64,28829,B2,,,UNK,,4/20/2021,KW
51000,65,28829,B2,,,UNK,,4/20/2021,KW
51000,66,28829,D2,,,LEFT,,4/20/2021,KW
51000,67,28829,F2,,,LEFT,,4/20/2021,KW
51000,68,28829,H2,,,LEFT,,4/20/2021,KW
51000,69,28829,A3,,,LEFT,,4/20/2021,KW
51000,70,28829,B3,,,UNK,,4/20/2021,KW
51000,71,28829,B3,,,LEFT,,4/20/2021,KW
51000,72,28829,B3,,,LEFT,,4/20/2021,KW
51000,73,28829,C3,,,LEFT,,4/20/2021,KW
51000,74,28829,H3,,,LEFT,,4/20/2021,KW
51000,75,28829,A4,,,UNK,,4/20/2021,KW
51000,76,28829,B4,,,UNK,,4/20/2021,KW
51000,77,28829,B4,,,LEFT,,4/20/2021,KW
51000,78,28829,B4,,,LEFT,,4/20/2021,KW
51000,79,28829,C4,,,UNK,,4/20/2021,KW
51000,80,28829,C4,,,UNK,,4/20/2021,KW
51000,81,28829,C5,,,LEFT,,4/20/2021,KW
51000,82,28829,H5,,,UNK,,4/20/2021,KW
51000,83,28829,A6,,,LEFT,,4/20/2021,KW
