otolith_fish_id,heart_fish_id,otolith_miss_loci,heart_miss_loci,duplicate_rate,48_DWP_tray_barcode,diff,otolith_position,otolith_row,otolith_col,heart_position,heart_row,heart_col,heart_fish_id_self,heart_miss_loci_self,duplicate_rate_self,diff_self,match_type
PGOD21_3004,PGILMOUR15_129,68,4,0.7947598253275109,2095,0.23580786026200873,H2,H,2,H2,H,2,PGILMOUR15_129,4,0.7947598253275109,0,self
PGOD21_3005,PGILMOUR15_130,106,2,0.9947916666666666,2095,0.4375,A3,A,3,A3,A,3,PGILMOUR15_130,2,0.9947916666666666,0,self
PGOD21_3006,PGILMOUR15_130,172,2,0.7222222222222222,2095,0.13351254480286734,B3,B,3,A3,A,3,NA,NA,NA,NA,not_self
PGOD21_3007,PGILMOUR15_136,236,2,0.9838709677419355,2095,0.435483870967742,G3,G,3,G3,G,3,PGILMOUR15_136,2,0.9838709677419355,0,self
PGOD21_3009,PGILMOUR15_139,215,1,0.9879518072289156,2095,0.40963855421686746,B4,B,4,B4,B,4,PGILMOUR15_139,1,0.9879518072289156,0,self
PGOD21_3011,PGILMOUR15_145,201,4,0.9278350515463918,2095,0.35051546391752586,H4,H,4,H4,H,4,PGILMOUR15_145,4,0.9278350515463918,0,self
PGOD21_3012,PGILMOUR15_146,137,1,0.8198757763975155,2095,0.27329192546583847,A5,A,5,A5,A,5,PGILMOUR15_146,1,0.8198757763975155,0,self
PGOD21_3013,PGILMOUR15_147,180,3,0.9152542372881356,2095,0.39830508474576276,B5,B,5,B5,B,5,PGILMOUR15_147,3,0.9152542372881356,0,self
PGOD21_3014,PGILMOUR15_152,175,4,0.926829268292683,2095,0.41463414634146345,G5,G,5,G5,G,5,PGILMOUR15_152,4,0.926829268292683,0,self
PGOD21_1961,PGILMOUR15_173,173,4,0.768,2096,0.15824390243902442,D2,D,2,D2,D,2,PGILMOUR15_173,4,0.768,0,self
PGOD21_1962,PGILMOUR15_173,152,4,0.8561643835616438,2096,0.2757448031420634,D2,D,2,D2,D,2,PGILMOUR15_173,4,0.8561643835616438,0,self
PGOD21_1963,PGILMOUR15_174,91,1,0.966183574879227,2096,0.466183574879227,E2,E,2,E2,E,2,PGILMOUR15_174,1,0.966183574879227,0,self
PGOD21_1964,PGILMOUR15_180,165,4,0.5789473684210527,2096,0.03007518796992481,C3,C,3,C3,C,3,PGILMOUR15_180,4,0.5789473684210527,0,self
PGOD21_1965,PGILMOUR15_181,186,0,0.7857142857142857,2096,0.2410714285714286,D3,D,3,D3,D,3,PGILMOUR15_181,0,0.7857142857142857,0,self
PGOD21_1966,PGILMOUR15_185,47,1,0.9362549800796812,2096,0.4322549800796812,E3,E,3,H3,H,3,PGILMOUR15_182,0,0.46613545816733065,0.47011952191235057,not_self
PGOD21_1967,PGILMOUR15_188,99,2,0.9849246231155779,2096,0.46733668341708545,C4,C,4,C4,C,4,PGILMOUR15_188,2,0.9849246231155779,0,self
PGOD21_1970,PGILMOUR15_196,198,1,0.67,2096,0.050000000000000044,C5,C,5,C5,C,5,PGILMOUR15_196,1,0.67,0,self
PGOD21_1972,PGILMOUR15_198,172,2,0.8333333333333334,2096,0.2698412698412699,E5,E,5,E5,E,5,PGILMOUR15_198,2,0.8333333333333334,0,self
PGOD21_2148,PGILMOUR15_219,137,2,0.6832298136645962,2097,0.16149068322981364,B2,B,2,B2,B,2,PGILMOUR15_219,2,0.6832298136645962,0,self
